	Queries	FastAnswerID	Paragraph	TrueParagraph	Module	ParentId	MouseClass	MouseConfidence	ExpertEvaluetion
10	приказ о отпуске по беременности и родам	15105	Точного срока оформления приказа на отпуск по беременности и родам в законе нет. Дата оформления зависит от того, когда сотрудница подаст заявление на отпуск по беременности и родам. На день начала отпуска приказ должен быть оформлен.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	1	0.822010338306427	0
11	приказ о отпуске по беременности и родам	15105	Приказ зарегистрируйте в журнале регистрации кадровых приказов. Подробнее в Какие документы относятся к документам по личному составу.	Приказ о предоставлении отпуска по беременности и родам издайте по форме № Т-6 или по форме, которую разработали самостоятельно. Самостоятельно разработанный приказ должен содержать: шапку с реквизитами организации, название документа; суть приказа – предоставить отпуск по беременности и родам, указать даты начала и окончания этого отпуска; список оснований – заявление сотрудницы, больничный лист; должность, подпись, фамилия руководителя организации, дата; список сотрудников, которых следует ознакомить с приказом.	86	332469	0	0.99454790353775	0
12	в отпуске больничный по уходу за ребенком	19714	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	0	0.99331396818161	1
13	в отпуске больничный по уходу за ребенком	19714	Больничный лист по уходу за ребенком не выдают в периоды ежегодного оплачиваемого отпуска и отпуска без сохранения заработной платы (п. 46 Порядка, утвержденного приказом Минздрава от 01.09.2020 № 925н). Больничный можно будет получить, когда отпуск кончится.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.97095787525177	0
14	в отпуске больничный по уходу за ребенком	19714	Требований переносить или продлевать отпуск из-за больничного по уходу за ребенком в ТК нет. Вместе с тем ежегодный оплачиваемый отпуск можно продлить в других случаях, например, если такое правило зафиксировали в локальном акте. Аналогичные разъяснения – в письме Минтруда от 17.06.2020 № 14-2/ООГ-8522. Больничный в отпуске оплачивают, только когда сотрудник сам болел во время ежегодного оплачиваемого отпуска (см. пример выплаты больничного пособия сотруднику, который заболел во время ежегодного оплачиваемого отпуска).	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.961891770362854	0
15	перенос отпуска если больничный с ребенком	19714	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	0	0.990306496620178	1
16	перенос отпуска если больничный с ребенком	19714	Больничный лист по уходу за ребенком не выдают в периоды ежегодного оплачиваемого отпуска и отпуска без сохранения заработной платы (п. 46 Порядка, утвержденного приказом Минздрава от 01.09.2020 № 925н). Больничный можно будет получить, когда отпуск кончится.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.937932789325714	0
17	перенос отпуска если больничный с ребенком	19714	Требований переносить или продлевать отпуск из-за больничного по уходу за ребенком в ТК нет. Вместе с тем ежегодный оплачиваемый отпуск можно продлить в других случаях, например, если такое правило зафиксировали в локальном акте. Аналогичные разъяснения – в письме Минтруда от 17.06.2020 № 14-2/ООГ-8522. Больничный в отпуске оплачивают, только когда сотрудник сам болел во время ежегодного оплачиваемого отпуска (см. пример выплаты больничного пособия сотруднику, который заболел во время ежегодного оплачиваемого отпуска).	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.974055171012878	0
18	больничный по уходу за ребенком до 7 лети отпуск	19714	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	0	0.993371605873108	1
19	больничный по уходу за ребенком до 7 лети отпуск	19714	Больничный лист по уходу за ребенком не выдают в периоды ежегодного оплачиваемого отпуска и отпуска без сохранения заработной платы (п. 46 Порядка, утвержденного приказом Минздрава от 01.09.2020 № 925н). Больничный можно будет получить, когда отпуск кончится.	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.966781556606293	0
20	больничный по уходу за ребенком до 7 лети отпуск	19714	Требований переносить или продлевать отпуск из-за больничного по уходу за ребенком в ТК нет. Вместе с тем ежегодный оплачиваемый отпуск можно продлить в других случаях, например, если такое правило зафиксировали в локальном акте. Аналогичные разъяснения – в письме Минтруда от 17.06.2020 № 14-2/ООГ-8522. Больничный в отпуске оплачивают, только когда сотрудник сам болел во время ежегодного оплачиваемого отпуска (см. пример выплаты больничного пособия сотруднику, который заболел во время ежегодного оплачиваемого отпуска).	Сотруднику оплатят только те дни, которые выпадают на время после окончания ежегодного отпуска.	12	342866	1	0.937601149082184	0
21	заявление на возврат по больничным образец	13322	Заявление на выплату пособия по временной нетрудоспособности оформлять не нужно.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.963595747947693	0
22	заявление на возврат по больничным образец	13322	Заявление на выплату больничных оформляли до 31 декабря 2020 года включительно на основании пункта 2 Положения, утв. постановлением Правительства РФ от 21.04.2011 № 294. Этот документ определял до окончания 2020 года правила для пособий при прямых выплатах.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	0	0.911541879177094	0
23	заявление на возврат по больничным образец	13322	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	0	0.900107145309448	1
24	заявление на больничный пилотный проект	13322	Заявление на выплату пособия по временной нетрудоспособности оформлять не нужно.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.966737866401672	0
25	заявление на больничный пилотный проект	13322	Заявление на выплату больничных оформляли до 31 декабря 2020 года включительно на основании пункта 2 Положения, утв. постановлением Правительства РФ от 21.04.2011 № 294. Этот документ определял до окончания 2020 года правила для пособий при прямых выплатах.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.764645993709564	0
26	заявление на больничный пилотный проект	13322	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.863637685775757	1
27	заявлении сотрудника на выплату больничного листа	13322	Заявление на выплату пособия по временной нетрудоспособности оформлять не нужно.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.96856302022934	0
28	заявлении сотрудника на выплату больничного листа	13322	Заявление на выплату больничных оформляли до 31 декабря 2020 года включительно на основании пункта 2 Положения, утв. постановлением Правительства РФ от 21.04.2011 № 294. Этот документ определял до окончания 2020 года правила для пособий при прямых выплатах.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.863266468048096	0
29	заявлении сотрудника на выплату больничного листа	13322	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	С 1 января 2021 года действует постановление Правительства от 30.12.2020 № 2375. Согласно этому документу заявление на выплату пособия по временной нетрудоспособности оформлять не нужно. Заявление требуется, если работник просит пересчитать ранее назначенное больничное пособие. Для этого работник заполняет специальный бланк. Список документов для каждого вида пособия – в справочнике.	86	331574	1	0.801205039024353	1
30	кто оплачивает больничный уволенному сотруднику	15249	Ответ зависит от причины увольнения сотрудника.	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	0	0.917817950248718	0
31	кто оплачивает больничный уволенному сотруднику	15249	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	1	0.863622844219208	1
32	кто оплачивает больничный уволенному сотруднику	15249	Если сотрудника увольняют не по инициативе организации, а по другим основаниям, то его можно уволить в последний день больничного (ст. 77 ТК). Например, работник имеет право уволиться по собственному желанию в период, когда отсутствовал на работе. Например, когда был на больничном (ст. 80 ТК). При этом больничный нужно будет оплатить в общем порядке за все дни болезни, после того как сотрудник принесет закрытый больничный листок работодателю.	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	1	0.961315155029297	0
33	можно уволить последним днем закрытого больничного	15249	Ответ зависит от причины увольнения сотрудника.	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	0	0.942664265632629	0
34	можно уволить последним днем закрытого больничного	15249	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	1	0.930858492851257	1
35	можно уволить последним днем закрытого больничного	15249	Если сотрудника увольняют не по инициативе организации, а по другим основаниям, то его можно уволить в последний день больничного (ст. 77 ТК). Например, работник имеет право уволиться по собственному желанию в период, когда отсутствовал на работе. Например, когда был на больничном (ст. 80 ТК). При этом больничный нужно будет оплатить в общем порядке за все дни болезни, после того как сотрудник принесет закрытый больничный листок работодателю.	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781	1	0.97135192155838	0
