FastAnswerID	Paragraph	TrueParagraph	Module	ParentId
13331	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 25 человек и менее, могут подавать документы в фонд в виде электронных реестров. У них также есть право подавать документы в бумажном виде. Для документов в бумажном виде вместо реестра нужно оформить опись.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Используйте бланки реестров из приказа ФСС от 04.02.2021 № 26. В нем приведены три реестра по видам пособий. Не нужно подавать реестр, если работник обратился за пособием по временной нетрудоспособности в связи с травмой или профзаболеванием. Электронный реестр для данного пособия не предусмотрен.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	В начале каждого реестра укажите наименование и регистрационный номер страхователя, код подчиненности, ИНН/КПП, ОГРН (ОГРНИП), контактный номер телефона с указанием кода, адрес электронной почты страхователя. Регистрационный номер страхователя указан в извещении или уведомлении страхователя о регистрации в территориальном органе ФСС. Код подчиненности – это пятизначный код территориального органа ФСС, в котором зарегистрирован страхователь.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	В табличной части реестра впишите данные о получателях пособий. При этом используйте сведения из документов, которые представили сотрудники – застрахованные лица. Если у сотрудника – получателя пособия нет ИНН, поставьте прочерк.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Не указывайте среднедневной заработок, достаточно указать средний заработок в расчетном периоде. На это обратило внимание региональное отделение ФСС по Республике Башкортостан в информации от 01.09.2020.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Ни оригиналы, ни копии вместе с реестром в ФСС представлять не нужно. Если фонд запросит какой-либо документ, в извещении он уточнит, оригинал или копию нужно предъявить.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Есть две частые ошибки в заполнении реестра (информация от 01.09.2020 регионального отделения ФСС по Республике Башкортостан). Во-первых, страхователи часто указывают реквизиты счета, которые отличны от реквизитов в заявлении сотрудника на пособие. Во-вторых, в графе «Иная информация, имеющая значение при решении вопросов назначения пособия» не указывают название района или местности, где действует районный коэффициент для расчета пособия.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13331	Если бухгалтер внес в реестр неверные сведения и передал их в ФСС, нужно оформить и направить в фонд новый реестр. Ошибочные данные надо исправить, а правильные оставить.	Реестры обязаны оформлять те страхователи, у которых среднесписочная численность физлиц, которым начисляли выплаты, за предшествующий расчетный период составила 26 человек и более. Реестры оформляют вновь созданные (в том числе при реорганизации) организации, у которых численность указанных физлиц 26 человек и больше (п. 4 положения, утв. постановлением Правительства от 30.12.2020 № 2375). Реестры направляют в фонд только в электронном виде.	86	328946
13944	Больничное пособие положено сотрудникам, которые уже не работают в организации. Причина увольнения (собственное желание, сокращение штата и др.) не важна.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Если сотрудник получил больничный по уходу за членом семьи до того, как уволился, пособие также нужно оформить по общим правилам – целиком за счет ФСС и с учетом лимита дней в зависимости от возраста ребенка или родственника, за которым работник ухаживает.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Когда сотрудник получил больничный листок в день увольнения, пособие ему оформите за весь период болезни. Пособие выплачивают за весь период болезни сотрудника, который работает по трудовому договору. День увольнения считают последним днем работы, поэтому при расчете пособия нужно учитывать страховой стаж (ч. 2 ст. 5 Закона от 29.12.2006 № 255-ФЗ, ч. 3 ст. 84.1 ТК).	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Пособие оформите и тем бывшим сотрудникам, которые заболели во время отпуска с последующим увольнением. Не важно, что трудовую книжку и окончательный расчет человек получает в последний рабочий день перед таким отпуском. Дата увольнения – последний день отпуска (ч. 2 ст. 127 ТК, определение Верховного суда от 23.11.2015 № 34-КГ15-13).	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Независимо от стажа пособие выплачивайте в размере 60 процентов среднего заработка. Оплате подлежит больничный листок, который выдан бывшему сотруднику в течение 30 календарных дней после его увольнения, только если: бывший сотрудник представил больничный листок с диагнозом «заболевание» или «травма»; заболел или получил травму сам сотрудник, а не его ребенок или родственник.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Об этом сказано в части 2 статьи 5 и части 3 статьи 13 Закона от 29.12.2006 № 255-ФЗ. Не выплачивайте пособие, если бывший сотрудник, например: ухаживает за больным ребенком или за взрослыми членами семьи (в том числе находящимися на карантине); находится на карантине, протезировании или на долечивании в санатории после стационарного лечения.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
13944	Уволенный работник может обратиться за пособием по временной нетрудоспособности не позднее шести месяцев со дня восстановления трудоспособности или установления инвалидности. Если бывший работник обратился позже, фонд будет проверять причины пропуска срока. Если они уважительные, работник получит пособие. Об этом говорится в частях 1 и 3 статьи 12 Закона от 29.12.2006 № 255-ФЗ. Список уважительных причин указан в приказе Минздравсоцразвития от 31.01.2007 № 74. В их числе нетрудоспособность больше шести месяцев, переезд на место жительства в другой населенный пункт.	Сотруднику, который заболел или получил травму после увольнения, больничное пособие оформляют только в одном случае – болезнь наступила или травма получена в течение 30 календарных дней со дня увольнения. Оформите пособие по общим правилам: первые три дня за счет работодателя, остальное за счет ФСС. Такие правила установлены в части 3 статьи 13 и части 2 статьи 4.6 Закона от 29.12.2006 № 255-ФЗ.	86	279127
15221	Помимо максимального предела среднего дневного заработка есть минимальный размер среднего дневного заработка для расчета больничного пособия. Применяйте минимальный размер: если в расчетном периоде у сотрудника не было заработка; или если средний заработок сотрудника за месяц оказался меньше МРОТ, который установлен на дату открытия больничного листка.	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	86	283080
15221	Данная формула установлена с 19 июня 2020 года частью 1.1 статьи 14 Закона от 29.12.2006 № 255-ФЗ (в ред. Закона от 08.06.2020 № 175-ФЗ). Последнее изменение – учет районного коэффициента при расчете минимума среднедневного заработка – повлияет на расчет пособия для отдельных сотрудников. Речь идет о тех работниках, у которых суммарная заработная плата за расчетный период с учетом районных коэффициентов ниже МРОТ с учетом этих коэффициентов.	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	86	283080
15221	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	86	283080
15221	Предположим, на момент болезни сотрудник работал неполный день и в расчетном периоде у него отсутствовал заработок либо среднемесячный заработок оказался ниже МРОТ. Тогда значение МРОТ при расчете минимального среднего дневного заработка уменьшите пропорционально продолжительности рабочего времени. Такой порядок следует из положений части 6 статьи 7, частей 1, 1.1 и 3 статьи 14 Закона от 29.12.2006 № 255-ФЗ, пункта 15.3 Положения, утвержденного постановлением Правительства от 15.06.2007 № 375.	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	86	283080
15221	Если стаж сотрудника меньше шести месяцев, определять средний дневной заработок и сравнивать его с лимитами вообще не требуется. Пособие в этом случае определяют из расчета один МРОТ за календарный месяц.	При расчете минимального среднедневного заработка используйте федеральный МРОТ – 12 792 руб. в 2021 году. Региональные МРОТ во внимание не берите. Минимальный размер среднего дневного заработка сравнивайте со среднедневным фактическим заработком сотрудника.	86	283080
15249	Ответ зависит от причины увольнения сотрудника.	Закон ограничивает увольнение сотрудника во время болезни только в случае, когда его увольняют по инициативе организации (ст. 81 ТК). В такой ситуации необходимо дождаться окончания болезни и провести увольнение в первый день выхода сотрудника на работу. Исключение составляет случай, когда организация ликвидируется. В этом случае ждать окончания болезни не нужно (ч. 6 ст. 81 ТК).	12	336781
