	Query	Answer	MouseClass	MouseConfidence
11	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В 2023 году при уплате НДФЛ с дивидендов резидентам до 5 млн руб. включительно используйте КБК 182 1 01 02130 01 1000 110, сверх 5 млн руб. – 182 1 01 02140 01 1000 110. При уплате НДФЛ с дивидендов нерезидентам применяйте КБК 182 1 01 02130 01 1000 110, независимо от суммы дохода.                                                                                                                                                                                                                          	0	0.9948664
12	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В базе Системы свыше 200 должностных инструкций для разных отделов и отраслей. В справочнике ниже – готовые образцы для сотрудников бухгалтерии, руководителей, юристов и других популярных профессий. Чтобы скачать документ, перейдите по ссылке в нужный вам раздел.БухгалтерияРуководители и начальники отделовКадры и охрана трудаРаботники складаМаркетинг и продажиСпециалисты ИТ службыИнженерыМенеджерыВодителиЮристыПолный список образцов должностных инструкций можно найти в рубрикаторе.              	0	0.99479795
13	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Налог при УСН с объектом «доходы минус расходы» зависит от двух показателей – базы и ставки. В налоговую базу включают полученные доходы, далее вычитают расходы из перечня, потом базу умножают на ставку. В рекомендации – как посчитать авансовые платежи и налог по итогам года по обычной или пониженной ставке. О ставках на УСН и расчете платежей по повышенной ставке – в других рекомендациях.                                                                                                            	0	0.99497706
14	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	При составлении плана проверок в 2023 году ИФНС могут ориентироваться на налоговую нагрузку за 2022 год.Средняя налоговая нагрузка за 2023 год появится на сайте ФНС к 5 мая 2024 года. ФНС ежегодно публикует данные о налоговой нагрузке за прошлый год до 5 мая (п. 6 приказа ФНС от 30.05.2007 № ММ-3-06/333).В 2023 году ИФНС вправе проверить периоды 2023 года, а не только 2020–2022 годы. Кроме налоговой нагрузки инспекторы могут учесть и другие критерии, например долю вычета по НДС, низкие зарплаты.	0	0.99497116
15	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Индивидуальные предприниматели не обязаны ежегодно подтверждать установленный им тариф взносов на травматизм. СФР устанавливает им тарифы самостоятельно по данным ЕГРИП (п. 10 Правил, утв. постановлением Правительства от 01.12.2005 № 713). Если предприниматель в прошлом году изменил основной вид деятельности и внес соответствующие изменения в ЕГРИП, СФР самостоятельно установит новый страховой тариф, когда получит данные из ЕГРИП от ФНС.                                                           	0	0.8024195
16	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Срок сдачи РСВ за I квартал: 25 апреля 2023 года.Куда сдавать: в ИФНС.Форма: РСВ за I квартал 2023 года сдавайте по новой форме из приказа ФНС от 29.09.2022 № ЕД-7-11/878@.Скачать новый бланк >>.Образцы заполнения для разных случаев можно скачать ниже.Кто сдает: все страхователи.                                                                                                                                                                                                                            	0	0.99461335
17	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	По общему правилу НДС надо перечислять на единый налоговый счет (ЕНС) в составе единого налогового платежа (ЕНП). Срок уплаты – 28-е число. Исключение: импортеры, которые уплачивают налог в специальные сроки. Если 28-е число попадает на нерабочий день, то налог перечисляют в бюджет не позднее первого рабочего дня, следующего за нерабочим днем (п. 7 ст. 6.1, п. 1 ст. 174 НК). Порядок уплаты зависит от того, кто уплачивает налог: плательщик НДС, неплательщик НДС, налоговый агент или правопреемник.	0	0.9949452
18	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Чтобы подтвердить основной вид деятельности, не позднее 17 апреля 2023 года подайте в ваше территориальное отделение СФР:справку-подтверждение основного вида экономической деятельности;заявление о подтверждении основного вида деятельности;копию пояснительной записки к балансу за предыдущий год.В рекомендации – как заполнить документы, определить основной ОКВЭД и как быть обособкам и ИП.                                                                                                               	1	0.89413136
19	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Персональные данные – это любая информация, которая прямо или косвенно относится к определенному физическому лицу – субъекту персональных данных. Это, например: фамилия, имя, отчество, год, месяц, дата и место рождения, адрес, семейное, социальное, имущественное положение, образование, профессия, доходы, телефон, фотография (п. 1 ст. 3 Федерального закона от 27.07.2006. № 152-ФЗ).                                                                                                                     	0	0.9911466
20	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Узнать сальдо по ЕНП и ЕНС можно, если запросить справку о наличии сальдо ЕНС, справку по суммам, перечисленным или признанным в качестве ЕНП, или справку об исполнении обязанности перед бюджетом (подп. 10 п. 1 ст. 32 НК). Для этого нужно подать заявление по форме, утвержденной приказом ФНС от 14.11.2022 № ЕД-7-19/1086@. Какая из трех справок нужна, отметьте в поле «Прошу выдать справку» кодами 1, 2 или 3. Ниже – бланк и образец заполнения заявления.                                              	0	0.9942768
21	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Узнать сальдо по ЕНП и ЕНС можно, если запросить справку о наличии сальдо ЕНС, справку по суммам, перечисленным или признанным в качестве ЕНП, или справку об исполнении обязанности перед бюджетом (подп. 10 п. 1 ст. 32 НК). Для этого нужно подать заявление по форме, утвержденной приказом ФНС от 14.11.2022 № ЕД-7-19/1086@. Какая из трех справок нужна, отметьте в поле «Прошу выдать справку» кодами 1, 2 или 3. Ниже – бланк и образец заполнения заявления.                                              	0	0.9942768
22	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Формально Трудовой и Гражданский кодексы не запрещают привлекать к работе по гражданско-правовому договору сотрудников. Даже если они в отпуске. Ведь время отдыха сотрудник вправе использовать по своему усмотрению, в том числе он может выполнять какие-то работы или оказывать услуги по гражданско-правовому договору (ст. 106 ТК). Важно лишь, чтобы в таком договоре не было признаков трудового. Иначе его признают притворным, а работодателя накажут (ст. 19.1 ТК, ч. 4 ст. 5.27 КоАП).                  	0	0.9948697
23	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	При уплате налогов и взносов в 2023 году надо использовать новые образцы платежных поручений. В справочнике — образцы с правилами заполнения на 2023 год платежек по ЕНП, взамен уведомлений и не по ЕНП, а также интерактивный помощник, который подберет нужный образец под вашу ситуацию.                                                                                                                                                                                                                        	0	0.9949073
24	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Положительные курсовые разницы отнесите к внереализационным доходам (п. 11 ст. 250 НК). Отрицательные курсовые разницы учтите как внереализационные расходы (подп. 5 п. 1 ст. 265 НК). Дата, на которую нужно учесть курсовую разницу, зависит от объекта переоценки с учетом спецправил на 2022–2024 годы. Для переоценки возьмите курс ЦБ на дату переоценки. Если стороны установили иной курс валюты, то в расчет берите его (п. 8 ст. 271, п. 10 ст. 272 НК, письмо Минфина от 27.01.2021 № 03-03-06/2/4661).  	0	0.99493957
25	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В заработок включите все выплаты за расчетный период, на которые начисляли страховые взносы (ч. 2 ст. 14 Закона от 29.12.2006 № 255-ФЗ, п. 2 положения, утв. постановлением Правительства от 11.09.2021 № 1540). Выплаты в каждом из годов расчетного периода учитывайте в пределах облагаемого страховыми взносами лимита. Максимальная величина в каждом конкретном году своя. В 2023 году это размер за предыдущие два календарных года: за 2022 год — 1 032 000 руб., а за 2021 год — 966 000 руб.              	0	0.9948265
26	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В рекомендации – полный путеводитель, как пройти сверку с налоговой инспекцией и узнать сальдо расчетов по ЕНП и ЕНС. Вы получите образцы заявлений для каждого случая и инструкции, как узнать, расшифровать и урегулировать сальдо, а также отразить итоги сверки в учете.                                                                                                                                                                                                                                        	0	0.9947896
27	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Отражайте в бухучете продажи через маркетплейсы точно так же, как и операции по посредническим договорам. Расчеты ведите на счете 76 – за проданные товары на субсчете «Расчеты с маркетплейсом за проданные товары», а по посредническому вознаграждению на субсчете «Расчеты с маркетплейсом по вознаграждению». Если вы работаете с несколькими интернет-площадками, рекомендуем вести аналитический учет по каждой из них.                                                                                      	0	0.99486357
28	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В справочнике – образцы с правилами заполнения и сроки сдачи отчетности за I квартал 2023 года в ИФНС и Социальный фонд. Есть список изменений в формах и правилах расчета налогов и взносов, календарь со сроками сдачи, видеоинструкции и сервисы для новых зарплатных отчетов. Образцы и правила заполнения одобрили специалисты Минфина, ФНС и Социального фонда.                                                                                                                                               	0	0.9949281
29	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В рекомендации – полный путеводитель, как пройти сверку с налоговой инспекцией и узнать сальдо расчетов по ЕНП и ЕНС. Вы получите образцы заявлений для каждого случая и инструкции, как узнать, расшифровать и урегулировать сальдо, а также отразить итоги сверки в учете.                                                                                                                                                                                                                                        	0	0.9947896
30	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Заявление о зачете положительного сальдо ЕНС утверждено приказом ФНС от 30.11.2022 № ЕД-7-8/1133@.                                                                                                                                                                                                                                                                                                                                                                                                                  	1	0.8527114
31	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Уведомление по УСН подавайте только в тех месяцах, когда наступают сроки уплаты авансовых платежей. Уведомление с суммой налога по УСН за год не сдавайте.                                                                                                                                                                                                                                                                                                                                                          	0	0.9900136
32	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	НДС перечисляйте в бюджет на единый налоговый счет (ЕНС) в составе единого налогового платежа (ЕНП). В платежном поручении по ЕНП указывайте нового получателя платежа, общего для всей России – «Казначейство России (ФНС России)». Такие правила действуют с 15 мая 2023 года (письмо ФНС и Казначейства от 15.05.2023 № ЕД-26-8/8@/07-04-05/05-12658, информация ФНС от 18.05.2023).                                                                                                                             	0	0.9948126
33	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В справочнике — основные отчеты и платежи в СФР и налоговую инспекцию на 2023 год. Выбирайте дату в календаре, чтобы посмотреть, какие отчеты и платежи попадают на этот день. Полный перечень отчетности – в Профессиональном календаре бухгалтера. Чтобы получить перечень форм статистической отчетности для вашей организации или ИП, воспользуйтесь сервисом.                                                                                                                                                  	0	0.994909
34	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Индивидуальные предприниматели не обязаны ежегодно подтверждать установленный им тариф взносов на травматизм. СФР устанавливает им тарифы самостоятельно по данным ЕГРИП (п. 10 Правил, утв. постановлением Правительства от 01.12.2005 № 713). Если предприниматель в прошлом году изменил основной вид деятельности и внес соответствующие изменения в ЕГРИП, СФР самостоятельно установит новый страховой тариф, когда получит данные из ЕГРИП от ФНС.                                                           	0	0.8024195
35	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Правила заполнения всех реквизитов платежки по ЕНП с учетом новых правил, утвержденных приказом Минфина от 30.12.2022 № 199н, — в таблице ниже.                                                                                                                                                                                                                                                                                                                                                                     	0	0.9943203
36	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Узнать сальдо по ЕНП и ЕНС можно, если запросить справку о наличии сальдо ЕНС, справку по суммам, перечисленным или признанным в качестве ЕНП, или справку об исполнении обязанности перед бюджетом (подп. 10 п. 1 ст. 32 НК). Для этого нужно подать заявление по форме, утвержденной приказом ФНС от 14.11.2022 № ЕД-7-19/1086@. Какая из трех справок нужна, отметьте в поле «Прошу выдать справку» кодами 1, 2 или 3. Ниже – бланк и образец заполнения заявления.                                              	0	0.9942768
37	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Сделки с самозанятым гражданином оформляйте с учетом общих требований ГК (п. 1 ст. 158, п. 1 ст. 161 ГК, п. 1 письма ФНС от 20.02.2019 № СД-4-3/2899). Договор с самозанятым может быть как в письменной форме, так и в виде оферты. Допустим также вариант в виде обмена электронными документами.                                                                                                                                                                                                                 	0	0.99485826
38	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В 2023–2024 годах положительные и отрицательные курсовые разницы по требованиям, обязательствам и банковским вкладам/депозитам в валюте включайте в налоговую базу по налогу на прибыль только на дату погашения. Но сами разницы по-прежнему считайте на последнее число отчетного или налогового периода (подп. 7.1 п. 4 ст. 271, подп. 6.1 п. 7 ст. 272 НК). В 2022 году норма действовала только для положительный разниц, для отрицательных – по выбору организации.                                           	0	0.99489707
39	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Индивидуальные предприниматели не обязаны ежегодно подтверждать установленный им тариф взносов на травматизм. СФР устанавливает им тарифы самостоятельно по данным ЕГРИП (п. 10 Правил, утв. постановлением Правительства от 01.12.2005 № 713). Если предприниматель в прошлом году изменил основной вид деятельности и внес соответствующие изменения в ЕГРИП, СФР самостоятельно установит новый страховой тариф, когда получит данные из ЕГРИП от ФНС.                                                           	0	0.8024195
40	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	С 2023 года налоги и взносы перечисляют единым налоговым платежом, который инспекция сама засчитает в счет текущих платежей, недоимок, пеней и штрафов. В рекомендации — как перейти на ЕНП, в какие сроки его платить, как подать уведомление о начислениях, как заполнить платежку и отражать платеж в учете. Образцы документов и видеоинструкции помогут быстро разобраться в новых правилах работы.                                                                                                            	0	0.99493104
41	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	В рекомендации — инструкция по заполнению путевых листов и образцы заполнения с учетом новых правил. Вы узнаете, как заполнить каждый реквизит и какие штрафы грозят за отсутствие путевого листа. Избежать опасных ошибок поможет памятка и чек-лист.                                                                                                                                                                                                                                                              	0	0.994928
42	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Сделки с самозанятым гражданином оформляйте с учетом общих требований ГК (п. 1 ст. 158, п. 1 ст. 161 ГК, п. 1 письма ФНС от 20.02.2019 № СД-4-3/2899). Договор с самозанятым может быть как в письменной форме, так и в виде оферты. Допустим также вариант в виде обмена электронными документами.                                                                                                                                                                                                                 	0	0.99485826
43	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Реконструкция, модернизация, достройка, дооборудование, техническое перевооружение — это работы, результаты которых, как правило, используются в течение всего оставшегося срока полезного использования объекта или до следующих работ. Срок эксплуатации в таком случае превышает 12 месяцев или более длительный операционный цикл. Это признак капвложений. Их учитывают по правилам ФСБУ 26/2020. По завершении такие капвложения увеличат первоначальную стоимость объекта.                                   	0	0.99490535
44	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Любой договор, который заключили по правилам Гражданского кодекса, признается гражданско-правовым. В справочнике – формы с физлицами на выполнение работ и оказание услуг.                                                                                                                                                                                                                                                                                                                                          	0	0.9946944
45	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Как заполнить отчет об изменениях капитала — ОИК по данным остатков и оборотов счетов бухучета по капиталу и финансовым результатам, а также в какой оценке отразить показатели в отчете, смотрите в этом материале. Кроме того, здесь же смотрите правила по подготовке ОИК при переходе на новые ФСБУ.                                                                                                                                                                                                            	0	0.9946818
46	по какой форме и в какой срок сдавать заявление о подтверждении основного вида деятельности?	Любой договор, который заключили по правилам Гражданского кодекса, признается гражданско-правовым. В справочнике – формы с физлицами на выполнение работ и оказание услуг.                                                                                                                                                                                                                                                                                                                                          	0	0.9946944
